table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
app_db,public,lilac_pipeline-version,BASE TABLE,,,,,,YES,NO,
app_db,public,emulsion_amra_data,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_creator_technicians,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_extraction_batch,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_mealtime,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_health_condition,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_internal_question_options,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_internal_survey,BASE TABLE,,,,,,YES,NO,
app_db,public,annotated_metabolites,BASE TABLE,,,,,,YES,NO,
app_db,public,data_dictionary,BASE TABLE,,,,,,YES,NO,
app_db,public,sequence_bacteria_sum_ec,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_report_score,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_role_scope,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_sequencing_type,BASE TABLE,,,,,,YES,NO,
app_db,public,research_observation,BASE TABLE,,,,,,YES,NO,
app_db,public,shotgun_taxa,BASE TABLE,,,,,,YES,NO,
app_db,public,11_elegance_diagnostic_scan_data,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_coach_profile_program_availability,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_external_profile,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_diet,BASE TABLE,,,,,,YES,NO,
app_db,public,fmid_metadata,BASE TABLE,,,,,,YES,NO,
app_db,public,shotgun_pathway_abundance,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_version,BASE TABLE,,,,,,YES,NO,
app_db,public,11_elegance_diagnostic_scan_data_extension,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_preferences_name,BASE TABLE,,,,,,YES,NO,
app_db,public,ffq_grams_per_day,BASE TABLE,,,,,,YES,NO,
app_db,public,ffq_nutrients_per_day,BASE TABLE,,,,,,YES,NO,
app_db,public,ffq_servings_per_day,BASE TABLE,,,,,,YES,NO,
app_db,public,response_ccmq,BASE TABLE,,,,,,YES,NO,
app_db,public,b2c_score,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_affect_bacteria,BASE TABLE,,,,,,YES,NO,
app_db,public,shotgun_gene_family,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_analysis-batch-sample,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_bacteria,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_bacteria_level,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_internal_survey_section,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_internal_survey_section_question,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_kit_serial,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_mealtime_name,BASE TABLE,,,,,,YES,NO,
app_db,public,pathway,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_categories,BASE TABLE,,,,,,YES,NO,
app_db,public,fmid_results,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_cuisine,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_ingredient,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_language,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_analysis-sample-status-history,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_channel,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_coach_booking,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_coach_profile_program_special_availability,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_coach_program,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_diet_affect_bacteria,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_nutrient,BASE TABLE,,,,,,YES,NO,
app_db,public,annotated_species,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_allergen_category,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_analysis-batch,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_analysis_batch_status_history,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_coach_profile,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_allergens,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_category,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_diets,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_health_condition_score,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_ingredient_affect_bacteria,BASE TABLE,,,,,,YES,NO,
app_db,public,patient,BASE TABLE,,,,,,YES,NO,
app_db,public,shotgun_enzyme_pathway,BASE TABLE,,,,,,YES,NO,
app_db,public,taxa_16s,BASE TABLE,,,,,,YES,NO,
app_db,public,11_elegance_other_information,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_b2b_order_item,BASE TABLE,,,,,,YES,NO,
app_db,public,11_elegance_other_information_2,BASE TABLE,,,,,,YES,NO,
app_db,public,10_elegance_assessment_metadata,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_bundle,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_coach_booking_session,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_coach_profile_program,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_ingredient_nutrient,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_internal_survey_result,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_biomarker_data,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_extraction_sequence,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_ftp_partner,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_home_page_rule,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_home_page_rule_action,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_biomarker_dates_data,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_biomarker_extension_data,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_cirrhosis_data,BASE TABLE,,,,,,YES,NO,
app_db,public,10_elegance_diagnostic_scan_data,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_child_pugh_score,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_kit,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_criteria_diagnostic_scan,BASE TABLE,,,,,,YES,NO,
app_db,public,10_elegance_diagnostic_scan_extension_data,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_demographic_profile,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_end_of_study,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_kit_attribute,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_ultrasound_image_details,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_kit_email_status,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_kit_lab_id_histories,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_kit_side_workflow_status,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_kit_side_workflow_status_history,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_kit_status_history,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_order,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_order_bundle_item_product,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_order_item,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_order_status,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_probiotic,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_product,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_profile_note,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_project,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_purchase_history,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_report-tenant,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_role,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_sample,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_sequence,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_sequence_status_history,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_survey,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_survey_collection,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_survey_collection_survey,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_survey_result,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_tenant,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_tenant_history,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_tenant_parent,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_user_profile,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_user_role,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_user_role_v3,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_users,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_b2b_client_setting,BASE TABLE,,,,,,YES,NO,
